id,trigger,conditions,script,text,options,notes
#RULESET_NAME ASS,,,,,,
,,,,,,
# Domain Gate,,,,,,
oldlegionDomainGateOpt,PopulateGateOptions,"$global.gatesActive
$global.playerCanUseGates
$gateScanned
DomainGateCMD CanBeAdded",,,18:DOMAIN_GATE:Travel towards Domain Space,
oldlegionDomainGateOptDescription,PopulateGateOptions,"$global.gatesActive
$global.playerCanUseGates
$gateScanned
DomainGateCMD CanBeAdded",DomainGateCMD Highlight,,,
oldlegionDomainGateUseOpt,DialogOptionSelected,$option == DOMAIN_GATE,DomainGateCMD Traverse,,,
#END Domain Gate,,,,,,
,,,,,,
# Fleet Captain Directing to Outpost,,,,,,
oldlegionHHOffInitial,BeginFleetEncounter,"!$hassle_didAlready
!$isHostile
$pursuePlayer_hassle score:50
$hassleType == oldlegion_HHtOff","$hassle_didAlready = true 0
$hassleComplete = true
MakeOtherFleetPreventDisengage hassle true
unset $ignorePlayerCommRequests
$fidpi_addContinue = true 0
HailPlayer","The bridge briefly falls silent in stupor before the navigation team scrambles to triple checks their calculations, you can hear the low grumble of them calmly but firmly arguing among themselves. They are interrupted shortly after by the sensors team. ""We've got unknown signatures on an interception course, sir."" The sensors officer says, with only a hint of worry in their voice.",,
artanis_joel_exposition,BeginFleetEncounter2,"$oldlegion_finnish score:51
$firstJoelExposition == false","$fidpi_addContinue = true 0
$firstJoelExposition = true 0","Your attention strays as the impression of something not unlike distant music insinuates itself into your consciousness; as if a chorus was singing at some great distance, their voices brought to you by a chance gust of wind. When you attempt to focus on the music the impression slips away.

You become suddenly aware that your bridge crew is staring expectantly, waiting for your next command.",,
artanis_joel_exposition1,BeginFleetEncounter3,"$oldlegion_finnish score:52
$firstJoelExposition == true",,This is the second part im testing to see if it actually adds another option,,
#artanis_joel_expositionDesc,BeginFleetEncounter,$oldlegion_finnish score:51,,"The bridge briefly falls silent in stupor before the navigation team scrambles to triple checks their calculations, you can hear the low grumble of them calmly but firmly arguing among themselves. They are interrupted shortly after by the sensors team. ""We've got unknown signatures on an interception course, sir."" The sensors officer says, with only a hint of worry in their voice.",expositionOption1:Continue,
#artanis_joel_exposition1,DialogOptionSelected,$option == expositionOption1,,This is the second part im testing to see if it actually adds another option,,
artanis_joel_FirstEncounter,OpenCommLink,"$id == oldlegion_artanis
!$global.oldlegion_intro_completed
$global.oldlegion_intro_missionGiven == false","$global.oldlegion_intro_missionGiven = true
BeginMission oldlegion_intro
SetTextHighlightColors story
OldLegionShowDomint
AddTextSmall ""New faction entry: Domain FOB"" highlight","""John starsector, I've been told to direct your towards the outpost at the near planet. go there''",cutCommLinkNoText:Cut comm link and prepare for travel.,
#END Fleet Captain Directing to Outpost,,,,,,
,,,,,,
# Meeting with Outpost Leader (Joel )1st time,,,,,,
JKIntro,PopulateOptions,"$id == oldlegion_natah
!$global.oldlegion_intro_completed
$global.oldlegion_intro_missionGiven",,"""oh, if it isn't John Starsector""",JK_introCont1:Hello,
JKIntro1,DialogOptionSelected,$option == JK_introCont1,"AddStoryPoints 1
$global.oldlegion_intro_completed = true
Call $global.oldlegion_intro_ref updateStage","""introductions end here. Go to the quartermaster to get missions""",cutCommLink:Goodbye,
#END Meeting with Outpost Leader (Joel )1st time,,,,,,
,,,,,,
# Joel Generic Missions,,,,,,
joel_contact_GeneralGreeting,PickGreeting,"$id == oldlegion_natah score:10
$global.oldlegion_intro_completed
","ShowPersonVisual
FireAll PopulateOptions","""$playerName, greetings. New collaborations, desired?""
OR
""You return, $playerName.""
OR
""$playerName back, welcome. Wishes to fulfill, any?""",,
joel_contact_MHOpenText,MHOpenText,"$id == oldlegion_natah score:10
$global.oldlegion_intro_completed == true",FireBest ContactPreMissionListText,"$personFirstName's avatar does a familiar flicker. ""List, generating. Stand by, please.""
OR
$personFirstName's avatar morphs into a rotating shield around a Paragon. ""Querying, please hold.""
OR
$personFirstName vanishes, replaced by a stream of flowing geometric primitives. ""Database, scanning.""",,
